fips_st_code,fips_state,pop_est,families,child_family,children,child_family_avg,child_avg,housingunits,medianincome
1,Alabama,4780125,1215968,561458,989799,0.81,1.76,2244462,48123
2,Alaska,710249,152337,88484,174113,1.14,1.97,315386,73181
4,Arizona,6392288,1287367,608218,1197438,0.93,1.97,2970935,56581
5,Arkansas,2916031,732261,334604,601711,0.82,1.8,1362040,45869
6,California,37254519,7920049,4117036,8035222,1.01,1.95,14084824,71805
8,Colorado,5029319,1084461,543588,1004792,0.93,1.85,2352202,69117
9,Connecticut,3574147,881170,419285,772790,0.88,1.84,1512305,74168
10,Delaware,897937,204590,95175,172150,0.84,1.81,428251,62852
11,District of Columbia,601767,114166,49104,88899,0.78,1.81,311545,82372
12,Florida,18804564,4210760,1779586,3200461,0.76,1.8,9348689,52594
13,Georgia,9688729,2111647,1051302,1899303,0.9,1.81,4241003,56183
15,Hawaii,1360307,287068,129322,239483,0.83,1.85,539053,77765
16,Idaho,1567657,335588,170463,343031,1.02,2.01,711731,52225
17,Illinois,12831572,3105513,1514561,2884036,0.93,1.9,5347268,62992
18,Indiana,6484051,1602501,767836,1432898,0.89,1.87,2870670,54181
19,Iowa,3046871,769684,361153,686153,0.89,1.9,1386722,58570
20,Kansas,2853123,701547,345091,659418,0.94,1.91,1266378,56422
21,Kentucky,4339333,1104398,516344,901105,0.82,1.75,1974406,48375
22,Louisiana,4533487,1156438,572053,1049117,0.91,1.83,2045554,46145
23,Maine,1328358,340685,157325,279827,0.82,1.78,739077,56277
24,Maryland,5773794,1359318,662172,1194489,0.88,1.8,2437740,80776
25,Massachusetts,6547785,1576696,748865,1382189,0.88,1.85,2882739,77385
26,Michigan,9884116,2575699,1236713,2347192,0.91,1.9,4580939,54909
27,Minnesota,5303927,1255141,626291,1210443,0.96,1.93,2420473,68388
28,Mississippi,2968130,747159,363416,657312,0.88,1.81,1316108,43529
29,Missouri,5988950,1476516,699779,1293406,0.88,1.85,2775635,53578
30,Montana,989407,237407,111807,211642,0.89,1.89,505685,53386
31,Nebraska,1826305,443411,217636,420245,0.95,1.93,830749,59970
32,Nevada,2700677,498333,238846,451743,0.91,1.89,1235096,58003
33,New Hampshire,1316462,323651,158410,289296,0.89,1.83,630955,73381
34,New Jersey,8791978,2154539,1025556,1880026,0.87,1.83,3605401,80088
35,New Mexico,2059199,466515,235030,445404,0.95,1.9,932818,46744
36,New York,19378144,4639387,2231381,4155866,0.9,1.86,8287087,64894
37,North Carolina,9535751,2158869,995648,1744451,0.81,1.75,4573066,52752
38,North Dakota,672576,166150,80453,152563,0.92,1.9,367684,61843
39,Ohio,11536751,2993023,1409912,2632157,0.88,1.87,5188270,54021
40,Oklahoma,3751582,921750,434793,796868,0.86,1.83,1723230,50051
41,Oregon,3831079,877671,410803,766709,0.87,1.87,1750539,60212
42,Pennsylvania,12702868,3208388,1430808,2653125,0.83,1.85,5673599,59195
44,Rhode Island,1052964,265398,124867,228391,0.86,1.83,467412,63870
45,South Carolina,4625366,1072822,495276,875535,0.82,1.77,2256951,50570
46,South Dakota,814198,194330,95180,185835,0.96,1.95,387637,56521
47,Tennessee,6346276,1547835,707305,1239200,0.8,1.75,2930530,51340
48,Texas,25146091,5247794,2723330,5164472,0.98,1.9,10769900,59206
49,Utah,2763891,535294,299746,663394,1.24,2.21,1066131,68358
50,Vermont,625737,157763,76409,138281,0.88,1.81,333013,57513
51,Virginia,8001049,1847796,881893,1561010,0.84,1.77,3491091,71535
53,Washington,6724540,1499127,742481,1385475,0.92,1.87,3064381,70979
54,West Virginia,1853018,504055,213072,363929,0.72,1.71,890715,43469
55,Wisconsin,5687285,1386815,665239,1273539,0.92,1.91,2681232,59305
56,Wyoming,563775,130497,63263,118704,0.91,1.88,274985,60434
72,Puerto Rico,3726157,,,,,,1563159,19343
0,US,312484262,71787347,34588368,64494637,0.90,1.86,137947451,60336
