fips_state,fips_county,community,policies,total_coverage,total_premium
Alabama,Albany County,TUSCALOOSA  CITY OF (010203),1,67900,572
Alabama,Anderson County,BREWTON  CITY OF (010072),2,360000,632
Alabama,Autauga County,AUTAUGA COUNTY * (010314),75,16700000,61608
Alabama,Autauga County,AUTAUGAVILLE  TOWN OF (010001),19,1660000,4370
Alabama,Autauga County,DALLAS COUNTY* (010063),1,250000,348
Alabama,Autauga County,PRATTVILLE  CITY OF (010002),180,46400000,147687
Alabama,Autauga County,Unknown (Unknown),2,1090000,3238
Alabama,Baldwin County,BAKERHILL  TOWN OF (010511),1,183000,913
Alabama,Baldwin County,BALDWIN COUNTY* (015000),9750,2460000000,5484129
Alabama,Baldwin County,BAY MINETTE  CITY OF (010004),15,4470000,7105
Alabama,Baldwin County,CLARKE COUNTY * (010316),1,350000,399
Alabama,Baldwin County,DAPHNE  CITY OF (010005),328,99500000,179505
Alabama,Baldwin County,ELBERTA  TOWN OF (010212),33,8430000,19345
Alabama,Baldwin County,FAIRHOPE  CITY OF (010006),596,153000000,304368
Alabama,Baldwin County,FOLEY  CITY OF (010007),485,140000000,202165
Alabama,Baldwin County,GULF SHORES  CITY OF (015005),7684,1610000000,3821966
Alabama,Baldwin County,LOXLEY  TOWN OF (010009),32,7090000,21353
Alabama,Baldwin County,MAGNOLIA SPRINGS  TOWN OF (010524),33,9610000,31349
Alabama,Baldwin County,MOBILE  CITY OF (015007),1,350000,836
Alabama,Baldwin County,MOBILE COUNTY* (015008),1,259000,361
Alabama,Baldwin County,MONTGOMERY  CITY OF (010174),1,700000,2160
Alabama,Baldwin County,ORANGE BEACH  CITY OF (015011),7349,1690000000,2805816
Alabama,Baldwin County,PERDIDO BEACH  TOWN OF (010523),54,15400000,30111
Alabama,Baldwin County,ROBERTSDALE  CITY OF (010222),32,7000000,19956
Alabama,Baldwin County,SILVERHILL  TOWN OF (010010),4,770000,1336
Alabama,Baldwin County,SPANISH FORT  CITY OF (010429),37,14300000,175925
Alabama,Baldwin County,SUMMERDALE  TOWN OF (010328),14,3440000,4808
Alabama,Baldwin County,Unknown (Unknown),469,110000000,127308
Alabama,Barbour County,BARBOUR COUNTY* (010315),18,3920000,12160
Alabama,Barbour County,EUFAULA  CITY OF (010011),23,5500000,23206
Alabama,Bay County,JACKSONVILLE  CITY OF (010022),1,21500,295
Alabama,Benton County,BIRMINGHAM  CITY OF (010116),1,150000,2508
Alabama,Bibb County,BIBB COUNTY* (010226),8,1930000,9893
Alabama,Bibb County,BRENT  CITY OF (010012),9,1450000,12932
Alabama,Bibb County,CENTREVILLE  CITY OF (010369),9,2170000,12102
