fips_state,fips_st_code,event_year,event_month,event_type,injuries_direct,injuries_indirect,death_direct,death_indirect,event_source,episode_narrative
WYOMING,56,2012,April,Hail,0,0,0,0,AWSS,A cold front passed through the area during the 3rd. A southerly flow ahead of the front caused enough warm and moist air for moderate instability to develop. The combination of lift associated with the front and instability triggered showers and thunderstorms. Some thunderstorms produced gusty winds.
FLORIDA,12,2012,April,Tornado,0,0,0,0,Post Office,"The strong subtropical upper ridge over the southern plains remained in place.  However, the eastern extremity of the upper ridge across the mid-south was beginning to weaken as a short wave moved southeast through the Ohio and into the Eastern Tennessee Valley.  A moist, hot, unstable air mass remained in place across the southeast U.S.  The more favorable synoptic environment allowed for increased coverage of diurnal showers and thunderstorm activity.  Frequent cloud-to-ground lightning was observed form most of these storms.  Isolated storms in west central and central Georgia became severe and produced quarter to half-dollar-sized hail during the evening."
NEBRASKA,31,2012,April,Thunderstorm Wind,0,0,0,0,Utility Company,Scattered thunderstorms associated with a trough of low pressure produced gusty winds across portions of the Chesapeake Bay.
CALIFORNIA,6,2012,April,Frost/Freeze,0,0,0,0,Buoy,A thunderstorm developed during the late evening and produced wind damage in southwest Alabama.
ARIZONA,4,2012,April,Dust Devil,0,0,0,0,SNOTEL,"A man was suspected of drowning in the ocean off the South Washington coast near the community of Seaview, Washington."
TEXAS,48,2012,April,Flash Flood,0,0,0,0,Insurance Company,A thunderstorm dropped heavy rain over the area that was burned by the Schultz Fire.  Heavy runoff produced flash flooding below the burned area in Hutchinson Acres and along Campbell Avenue.
VIRGINIA,51,2012,April,Wildfire,0,0,0,0,Coast Guard,"Isolated severe thunderstorms developed in the afternoon as a cold front began to sag across the region on the 3rd. The weak front then stalled along the Mason-Dixon line. As an upper level short wave progressed across the front on July 4th, additional thunderstorms developed. Wind damage and flooding occurred in Pennsylvania, West Virginia and Maryland."
DELAWARE,10,2012,April,Wildfire,0,1,0,0,State Official,The Fisherman's Paradise Fire began on July 3rd approximately 7 miles southwest of Rio Vista. This fire was contained on the 4th but briefly reignited on the 5th burning 5 more acres. This fire burned a total of 750 acres. Very hot and dry conditions this month resulted in elevated fire danger.
WISCONSIN,55,2012,April,Strong Wind,0,0,0,0,Mariner,Several thunderstorms formed in the southern Big Horn Basin during the afternoon hours.  One storm produced wind damage in the town of Worland while a second storm brought severe wind gusts to the Worland airport.
TEXAS,48,2012,April,Lightning,0,1,0,0,SHAVE Project,Summertime isolated afternoon and evening thunderstorms developed under the influence of an upper level ridge as convective temperatures around 100 degrees were reached. One storm in Anderson County caused wind damage around Montalba.
TEXAS,48,2012,April,Lightning,0,0,0,0,WLON,A weak cool front that became stationary across the Ozarks and southeastern Kansas interacted with a very unstable airmass. Isolated strong to severe pulse storms occurred across southeastern Kansas.
NEW MEXICO,35,2012,April,Hail,0,0,0,0,Drought Monitor,A frontal system combined with ample moisture and instability to produce numerous showers and thunderstorms on July 3rd and 4th. A couple of these storms caused damage in Ashley County.
OKLAHOMA,40,2012,April,Flash Flood,0,0,0,0,911 Call Center,An approaching cold front along with strong surface heating over the mountains allowed for the development of thunderstorms across the Billings Forecast Area.  The combination of 40-50kt largely unidirectional west/southwest layer wind profiles and steep low to mid level lapse rates resulted in bowing segments and embedded supercells that produced high winds and large hail.
GEORGIA,13,2012,April,Wildfire,0,0,0,0,Social Media,"A weak cold front slowly sagged south into southern Illinois. Ahead of the front, dangerous levels of heat and humidity developed across parts of southern Illinois. The heat index peaked around 105 degrees. Actual high temperatures were in the mid 90's."
